monitoringlocationidentifier,monitoringlocationname,latitudemeasure,longitudemeasure,activitystartdate,characteristicname,result_value,units,mcl_value,mcl_units,result_mg_l,exceedance_flag,is_proxy_unit
GLEC-10124,Colorado River,33.25861,-114.67224,11/11/2023,Arsenic,0.0027,mg/L,0.01,mg/l,0.0027,0,
SOBOBA_WQX-IC2,Indian Creek 2nd Crossing,33.46397,-116.5096,16/11/2023,Arsenic,4.1,ug/L,0.01,mg/l,0.0041,0,
GLEC-10124,Colorado River,33.25861,-114.67224,14/09/2023,Arsenic,0.0031,mg/L,0.01,mg/l,0.0031,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,26/10/2023,Arsenic,1.9,ug/L,0.01,mg/l,0.0019,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,30/10/2023,Arsenic,3,ug/L,0.01,mg/l,0.003,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,17/10/2023,Arsenic,0.77,ug/L,0.01,mg/l,0.00077,0,
USGS-10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,26/10/2023,Arsenic,3.1,ug/L,0.01,mg/l,0.0031,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,18/10/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,24/10/2023,Arsenic,3.2,ug/L,0.01,mg/l,0.0032,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,08/11/2023,Arsenic,2.9,ug/L,0.01,mg/l,0.0029,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,14/11/2023,Arsenic,1.5,ug/L,0.01,mg/l,0.0015,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,06/09/2023,Arsenic,3.5,ug/L,0.01,mg/l,0.0035,0,
USGS-10260500,DEEP C NR HESPERIA CA,34.34305858,-117.2264316,03/08/2023,Arsenic,3.9,ug/L,0.01,mg/l,0.0039,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,13/07/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,08/08/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,23/08/2023,Arsenic,2.4,ug/L,0.01,mg/l,0.0024,0,
USGS-11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167,09/08/2023,Arsenic,1.3,ug/L,0.01,mg/l,0.0013,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,12/07/2023,Arsenic,1.1,ug/L,0.01,mg/l,0.0011,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,28/08/2023,Arsenic,3.4,ug/L,0.01,mg/l,0.0034,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,26/07/2023,Arsenic,4,ug/L,0.01,mg/l,0.004,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,27/07/2023,Arsenic,1.2,ug/L,0.01,mg/l,0.0012,0,
USGS-10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,34.57304916,-117.3206018,03/08/2023,Arsenic,3.5,ug/L,0.01,mg/l,0.0035,0,
USGS-11303500,SAN JOAQUIN R NR VERNALIS CA,37.6760406,-121.2663293,13/06/2023,Arsenic,1.3,ug/L,0.01,mg/l,0.0013,0,
USGS-10260950,WF MOJAVE R AB MOJAVE R FORKS RES NR HESPERIA CA,34.33889196,-117.2578213,27/04/2023,Arsenic,1.9,ug/L,0.01,mg/l,0.0019,0,
USGS-11074000,SANTA ANA R BL PRADO DAM CA,33.88334875,-117.6453296,18/05/2023,Arsenic,2.7,ug/L,0.01,mg/l,0.0027,0,
